,created_at,source,original_text,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place,clean_text
0,Fri Jun 18 17:55:49 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","🚨Africa is in the midst of a full-blown third wave of coronavirus the head of @WHOAFRO has warned

Cases have risen across the continent by more than 20% and deaths have also risen by 15% in the last week

@jriggers reports ~ 🧵
https://t.co/CRDhqPHFWM",0.1666666666666666,0.1888888888888888,en,548.0,612.0,ketuesriche,551,351,,,[TelGlobalHealth WHOAFRO],Mass,africa  in midst full-blown third wave  coronavirus head warned case risen across continent % death also risen % last week report ~
1,Fri Jun 18 17:55:59 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Dr Moeti is head of WHO in Africa and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa. https://t.co/sOgIroihOc,0.1333333333333333,0.4555555555555555,en,195.0,92.0,Grid1949,66,92,,,[globalhlthtwit],"Edinburgh, Scotland",dr moeti head africa one best public health expert leader know desperate request vaccine africa plead germany uk lift patent restriction urgently transfer technology enable production africa
2,Fri Jun 18 17:56:07 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Thank you @research2note for creating this amazing campaign &amp; turning social media #red4research today. @NHSRDFORUM is all about sharing the talent passion  &amp; commitment of individuals coming together as a community for the benefit of all. Youve done this. Well done 👋,0.3166666666666667,0.4833333333333333,en,2.0,1.0,LeeTomlinson8,1195,1176,,red4research,[NHSRDForum Research2note NHSRDForum],,thank creating amazing campaign amp turning social medium #redresearch today sharing talent passion amp commitment individual coming together community benefit youve done well done
3,Fri Jun 18 17:56:10 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Former Pfizer VP and Virologist Dr. Michael Yeadon is one of the most credentialed medical professionals speaking out about the dangers of the #Covid19 vaccines breaks down his “list of lies” that keeps him up at night. https://t.co/LSE8CrKdqn,0.0861111111111111,0.1972222222222222,en,1580.0,899.0,RIPNY08,2666,2704,,,[HighWireTalk],,former pfizer vp virologist dr michael yeadon one credentialed medical professional speaking danger #covid vaccine break list lie keep night
4,Fri Jun 18 17:56:20 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",I think it’s important that we don’t sell COVAX short. It still has a lot going for it and is innovative in its design. But it needs more vaccines to share.  We’re hoping our low cost @TexasChildrens recombinant protein COVID19 vaccine with @biological_e will help fill some gaps,0.2799999999999999,0.6199999999999999,en,72.0,20.0,pash22,28250,30819,,,[PeterHotez],United Kingdom,think important dont sell covax short still lot going innovative design vaccine share hoping cost recombinant protein covid vaccine help fill gap
5,Fri Jun 18 17:56:25 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember there are 3 easy ways to find a #COVID19 vaccine near you:  
🔍 Search https://t.co/d2PDWIps8o  
📱Text your ZIP code to 438829  
📞 Call 1-800-232-0233 https://t.co/AMmcMmCtiP",0.5083333333333333,0.7833333333333333,en,683.0,220.0,SandhraLee,759,4163,,WeCanDoThisCOVID19,[CDCDirector],USA,pleased welcome #wecandothis bus atlanta today remember easy way find #covid vaccine near search text zip code call ---
6,Fri Jun 18 17:56:44 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Yet another amazingly qualified and courageous doctor Roger Hodkinson speaks out against the crazy government policy responses to COVID.  I have condensed his 45 minutes on The Hirewire to 6 Twitter size edits starting with an overview of interventions and vaccines. https://t.co/WcVq32s9WD,3.7007434154171876e-17,0.6333333333333334,en,536.0,347.0,neilwalton48,221,599,,,[RealJoelSmalley],,yet another amazingly qualified courageous doctor roger hodkinson speaks crazy government policy response covid condensed minute hirewire twitter size edits starting overview intervention vaccine
7,Fri Jun 18 17:56:46 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Yet another amazingly qualified and courageous doctor Roger Hodkinson speaks out against the crazy government policy responses to COVID.  I have condensed his 45 minutes on The Hirewire to 6 Twitter size edits starting with an overview of interventions and vaccines. https://t.co/WcVq32s9WD,3.7007434154171876e-17,0.6333333333333334,en,536.0,348.0,Candide62,154,1102,,,[RealJoelSmalley],"Nord-Pas-de-Calais, France",yet another amazingly qualified courageous doctor roger hodkinson speaks crazy government policy response covid condensed minute hirewire twitter size edits starting overview intervention vaccine
8,Fri Jun 18 17:56:46 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Dr Moeti is head of WHO in Africa and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa.,0.1333333333333333,0.4555555555555555,en,197.0,93.0,AnneCar51323293,115,2030,,,[globalhlthtwit],,dr moeti head africa one best public health expert leader know desperate request vaccine africa plead germany uk lift patent restriction urgently transfer technology enable production africa
9,Fri Jun 18 17:56:47 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","It is really something to see new research coming out about damage to the brain heart and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q",0.3727272727272727,0.4674242424242424,en,3.0,1.0,DarkaDuna2014,94,144,,Covid19,[LongCovidNYC],"Bilbao, País Vasco",really something see new research coming damage brain heart #covid watch government reopen everything let covid #deltavariant spread wildly throughout country vaccine great
